ABCG5	ABHD17AP6	ABCA6	ABCC8	ABCG8	AC005220.1	AARD	AC004836.1	ABCA9	AC004930.1	AC004707.1	AADAC	ABCB5	AC005180.2	ABI3BP	AC005180.1	AC004947.1	ABCC13	AADACL2	AC002398.2	AC004147.4	ABCA8	ABHD17AP7	ABCG2	ABCB11	AC004835.1	AC003965.2	AC004467.1	AC004386.1	AC000111.2	AC004233.2	AC005070.2	AC005261.5	AC005264.1	AC005096.1	AC005229.1	AC004704.1	AC004223.2	AC004884.1	AACSP1	AC003080.1	ABCA12	AC004988.1	AC004593.1	ABCA9.AS1	AC005089.1	AC004080.1	AC000111.1	AC005256.1	AC000099.1
0.0057713808	0.0411293803	0.2943318555	0.3230883338	0.0241683338	0.0485736121	0.1602204219	0.237045356	0.3970184565	0.0845257344	1.0209290099	0	0.0185542068	1.2988687581	4.363138641	1.02410055	0.1003610122	0.8690336555	0.0338703002	0.2602368064	0.1605198993	3.3666097042	0	17.7539958649	0.3667868792	0	0.162034238	0	0.0282122688	0.2224822438	0.1749045746	0.0825751405	0.0619164716	0	0.0345169398	0	0	0.1183981794	0.0673026224	0	0	0.011400561	0.0242456652	0.0538083622	0	0.0574820255	0.0567226857	0	0	0
0.0150759351	0	0.301199093	0.0827419275	0.1157424509	0.0951625766	0.2557658637	0.044229084	0.2577376186	0.2207971594	0.7843703284	0	0.0212043507	0.6985362089	2.6820278013	0.2866225476	0.3226607895	1.1402705008	0.0608269832	0.1274601784	0.7862029694	2.4941064877	0	14.2577670646	0.2776360321	0	0.3174479914	0	0.0368478834	0.4358741851	0	0	0.1415203134	0.0120919531	0	0	0.0480981805	0	0	0	0	0.0089341247	0.0158335625	0	0	0.0125128243	0.0740851763	0	0	0
0.1974190603	0.0343144988	0.2772076093	0.2695546144	0.6183562824	0.0607879018	0.0891152657	0.1130105262	0.2214766418	0	1.3277551401	0.1396032309	0.0154798906	0.2231053003	1.980813667	0.3051476729	0.0193227275	0.5947334406	0.0035322754	0	0.4352489517	3.9941124411	0	13.9218338545	1.3353276384	0	0	0	0.047075344	0.0928091627	0	0	0.1291432473	0	0.0287976984	0	0	0.0329267801	0.0561509981	0	0	0.0095115593	0.0101141549	0	0.0059906918	0.0159858709	0	0	0	0
0.4349992456	0.12109354	0.3394829284	0.085798114	0.5218154647	0.0572043691	0.1677235897	0.0398806485	0.1770650174	0	0.813342121	0.0606338877	0.0846726008	1.5296570449	1.9116409963	0.6891810877	0.1091017525	1.4455600631	0.1944565007	0.3064767413	0.2835625924	1.8733298809	0	16.720619983	0.515405702	0	0	0	0.0996754185	0.1310068972	0	0	0	0.0109031182	0	0.0618198806	0	0	0	0.0074805713	0	0	0	0.063369251	0	0	0	0	0	0
0.0331046232	1.2778891915	0.6294814513	0.3330975662	0.0308065537	0.0232181747	1.412573724	4.4351840641	1.3991674983	0	0.0574122137	0	0.4567486743	2.7025624796	8.1385264561	2.3077362561	0.1402274224	0.0823138645	0.2023749398	4.1360715622	0.0767284725	2.9008283117	0	1.9855945423	0.0996159309	0	0	0	0.0539418302	0	0.0418021719	0	0.0443940874	0	0	0	0	0	0	0	0	0.0937308045	0.011589422	0.025720384	0	0.009158798	0	0	0	0
0.2293953231	0.0778462509	0.1780380229	0.1079143365	0.7319008111	0.2758082101	0.1853205524	0.2563769271	0.2578917924	0.15998324	0.7956648969	0.0730858686	0.0219486567	0.5784447395	2.6133024705	0.4845829653	0.0584476705	1.2885797988	0.0641068711	0.1847079225	0.3797732986	2.309547251	0	29.6721390335	0.4496675108	0	0	0	0	0	0	0	0.0878927389	0	0.0653307764	0	0	0	0	0	0	0.012946817	0	0	0	0	0.0536799775	0	0.0887243296	0
0.0246266704	0	0.5680788646	0.2027394818	0.03437569	0.1036325948	0.1614210857	0.1444971827	0.571379712	0.1803370351	0.9929886813	0.0549227901	0.0197928516	0.9373033443	3.521582459	0.741317318	0.1152963856	1.2816342169	0.0090328548	0.0694024347	0.4280897842	5.3636112693	0	23.6256023281	0.8492400428	0	0.0864256734	0.0694024347	0.0902870044	0.5933368771	4.7111673098	0	0.1155873282	0	0	0	0	0	0.2153868664	0.0067759774	0	0.007296985	0.0129321307	0.028700255	0	0.0306597101	0.0302546941	0	0	0
0.0749088667	0.0821282005	0.3105271265	0.1328252189	0.3056463386	0.0242482583	0.1777401354	0.0676197487	0.4409526799	0.2531747283	0.7794712846	0	0.1481980621	0.6102622157	3.376016661	0.6938223956	0.2543582131	0.6497411496	0.0634060156	0	0.2403976859	4.1296101634	0	7.2556910881	0.5118543235	0.0073737394	0.0808885295	0	0.1408374529	0.1110645613	0	0.0824440782	0.1081818474	0	0	0	0	0.0394034197	0.2687832016	0	0.0558942903	0.0045529865	0	0	0.0071690503	0.0095651318	0	0	0	0
30.8958305686	0.0147078947	0.3439720393	0.4100416952	29.2696486282	0	0.1782509027	0.6781406582	0.6233417878	0	0.8804989145	132.72721596	0.0082937464	0.4098320831	2.2561197687	0.4970115824	0.0883425648	2.0192696591	0.0726722558	0.1861217218	0.3157111449	2.1783591625	0	85.3839157341	0.0089429482	0	0.1738306647	0	0	0.1591196067	0	0	0.1660602961	0.0066214067	0	0	0	0.0282261802	0.048134928	0	0.0200196115	0.0048922182	0	0.0962095366	0	0.089074318	0	0	0.0670525854	0
0.1744672067	0.1279898034	0.4491950205	0.3069748277	0.2578594893	0.0431872511	0.1424534699	0.7527115525	0.8396633678	0	0.9878102153	0	0.2577612209	1.3586309588	8.3498132076	1.1706908671	0.1647358358	0.4806907799	0.1844506968	0.7809040216	0.5708789524	1.8812017779	0.0320819579	3.0318376708	0.8301074264	0	0.0720330754	0.0578447423	0.0501675821	0.098905518	0.0388773217	0	0.289015187	0	0.0306893328	0	0	0.070179283	0.0598393886	0	0	0.010136345	0	0.0956830324	0.0127684047	0.0255539022	0.0252163342	0.0908988808	0	0
